#Pulsar  P(ms)  Pdot(1e-20 s/s)  DM(pc cm^-3)  t_scatt(ms)  W50(ms)  GL(deg)  GB(deg)  S1400(mJy)  L1400(mJy kpc^2)  SPIDX  Dist(kpc)  X(kpc)  Y(kpc)  Z(kpc)  sigtoa3(ms)  sigtoa10(ms)
J0023+0923  3.050203  1.142341  14.328185  0.000010517  0.200956023  111.383075  -52.849257  0.479880  1.545648  -1.139000  1.794688  -0.395169  1.009230  -1.430455  0.000000230  0.000000767
J0030+0451  4.865453  1.017265  4.332772  0.000000163  0.504662709  113.141153  -57.611324  0.931243  0.097652  -2.124000  0.323824  -0.068169  0.159503  -0.273448  0.000000218  0.000000728
J0340+4130  3.299339  0.704696  49.586575  0.000023693  0.213084562  153.783370  -11.021857  0.309729  0.927847  -1.488000  1.730800  -1.524111  0.750505  -0.330900  0.000000472  0.000001573
J0613-0200  3.061844  0.959062  38.776457  0.000019424  0.273657778  -149.586946  -9.304911  2.113791  2.603829  -1.815000  1.109878  -0.944562  -0.554461  -0.179454  0.000000048  0.000000162
J0636+5128  2.868953  0.344831  11.108159  0.000002580  0.129142130  163.908577  18.642589  nan  nan  nan  0.727167  -0.662018  0.190974  0.232449  nan  nan
J0645+5158  8.853497  0.492111  18.248350  0.000008271  0.117782441  163.962947  20.250930  0.290236  0.433226  -1.687000  1.221747  -1.101618  0.316655  0.422886  0.000000514  0.000001712
J0740+6620  2.885736  1.218928  14.961787  0.000004271  0.133835367  149.729729  29.599370  4.378972  2.025432  -1.600000  0.680100  -0.510721  0.298086  0.335923  0.000000038  0.000000128
J0931-1902  4.638029  0.362843  41.488194  0.000004286  0.352340926  -109.000798  23.053625  0.420269  1.480505  -1.600000  1.876900  -0.562282  -1.632911  0.734980  0.000000448  0.000001493
J1012+5307  5.255749  1.712712  9.022146  0.000003247  0.584054917  160.347167  50.857844  3.423725  2.996572  -1.695000  0.935541  -0.556156  0.198616  0.725589  0.000000073  0.000000243
J1022+1001  16.452930  4.313174  10.257885  0.000001876  0.688136145  -128.328125  51.200620  6.099361  0.199970  -0.948000  0.181068  -0.070361  -0.089003  0.141114  0.000000057  0.000000188
J1024-0719  5.162205  1.855816  6.477743  0.000004607  0.141240978  -108.298416  40.515423  0.300239  0.298089  -2.179000  0.996413  -0.237831  -0.719200  0.647322  0.000000626  0.000002088
