 # P(ms)  Pdot(1e-20 s/s)  DM(pc cm^-3)  t_scatt(ms)  W50(ms)  GL(deg)  GB(deg)  S1400(mJy)  L1400(mJy kpc^2)  SPIDX  Dist(kpc)  X(kpc)  Y(kpc)  Z(kpc)  sigtoa3(ms)  sigtoa10(ms)
 3.050203  1.142341  14.328185  0.000010517  0.200956023  111.383075  -52.849257  0.479880  1.545648  -1.139000  1.794688  -0.395169  1.009230  -1.430455  0.000000230  0.000000767
 4.865453  1.017265  4.332772  0.000000163  0.504662709  113.141153  -57.611324  0.931243  0.097652  -2.124000  0.323824  -0.068169  0.159503  -0.273448  0.000000218  0.000000728
 16.452930  4.313174  10.257885  0.000001876  0.688136145  -128.328125  51.200620  6.099361  0.199970  -0.948000  0.181068  -0.070361  -0.089003  0.141114  0.000000057  0.000000188
 5.792303  1.165550  14.055885  0.000004123  0.297658846  23.394730  60.812269  0.296523  0.392152  -1.600000  1.150000  0.514719  0.222683  1.003981  0.000000892  0.000002973
 3.163316  0.281724  18.462100  0.000007845  0.220351436  41.050999  38.271189  1.414134  1.908440  -1.730000  1.161700  0.687790  0.598962  0.719539  0.000000076  0.000000254
 4.570137  0.852968  15.917131  0.000010218  0.108536757  28.750552  25.222839  6.891379  9.955418  -1.201000  1.201923  0.953285  0.523002  0.512187  0.000000017  0.000000057
 5.850096  2.411640  33.772525  0.000012834  0.120477167  27.721290  17.742234  0.670096  1.362433  -1.600000  1.425900  1.202201  0.631739  0.434522  0.000000272  0.000000907
 3.747155  3.021695  24.198581  0.000012608  0.086282487  37.885176  21.640803  0.929846  5.314167  -1.600000  2.390629  1.753795  1.364564  0.881632  0.000000118  0.000000394
 4.091797  0.871722  30.570164  0.000016977  0.124523927  44.874524  5.366949  0.399840  1.725335  -1.600000  2.077275  1.465615  1.459209  0.194296  0.000000267  0.000000889
 5.362100  1.784010  13.313704  0.000041462  0.517901061  42.290295  3.060420  4.464520  8.909041  -1.499000  1.412629  1.043495  0.949184  0.075419  0.000000057  0.000000192
 2.149912  1.880625  297.519142  0.125985665  0.195434774  37.336333  -1.013608  1.300001  52.665590  -2.076000  6.364900  5.059870  3.859661  -0.112594  0.000000083  0.000000277
 4.983584  0.967980  38.067848  0.000093741  0.132767214  46.563857  1.795208  0.500237  2.708749  -1.600000  2.327000  1.599134  1.688901  0.072898  0.000000294  0.000000979
 4.625962  1.692435  30.988199  0.000006792  0.088902595  47.517966  1.809149  0.079968  0.342688  -1.600000  2.070100  1.397364  1.525915  0.065354  0.000001661  0.000005538
 3.788156  0.955500  18.855333  0.000009982  0.145849328  58.945547  4.749030  0.220058  0.309878  -1.600000  1.186662  0.610041  1.013096  0.098245  0.000000700  0.000002332
 1.557807  10.510026  71.090617  0.000077002  0.036932881  57.508890  -0.289595  13.201041  162.182738  -2.315000  3.505082  1.882797  2.956411  -0.017716  0.000000004  0.000000013
 5.185202  1.733671  24.357987  0.000020340  0.364482755  47.160183  -7.357052  2.599577  7.536726  -0.324000  1.702707  1.148226  1.238244  -0.218035  0.000000249  0.000000831
 3.170139  0.316390  110.178388  0.000297608  0.221676144  69.294326  4.712649  0.290103  7.673044  -1.600000  5.142900  1.812215  4.794451  0.422533  0.000000545  0.000001817
 6.133167  2.973900  104.516916  0.000074346  0.224254069  65.839274  0.443238  0.685968  14.781359  -2.655000  4.642000  1.899903  4.235238  0.035910  0.000000518  0.000001728
 2.896216  0.799355  23.923485  0.000009982  0.063989472  48.620756  -16.026324  0.500237  1.231621  -1.600000  1.569100  0.996926  1.131616  -0.433196  0.000000211  0.000000702
 5.948958  1.114647  25.080758  0.000003995  0.230754748  60.856608  -13.154166  0.403925  1.616348  -1.600000  2.000400  0.948627  1.701313  -0.455235  0.000000575  0.000001917
 2.379879  0.524431  20.758775  0.000002498  0.021127887  61.918817  -15.312885  0.107986  0.206695  -1.600000  1.383509  0.628128  1.177309  -0.365371  0.000000658  0.000002194
 3.119227  1.472856  22.544019  0.000004280  0.181039655  86.855361  -21.665163  0.530006  0.181149  -1.600000  0.584624  0.029805  0.542507  -0.215833  0.000000352  0.000001173
 2.977819  0.152368  22.726958  0.000005704  0.437253394  87.693044  -26.283926  0.899945  1.851640  -2.132000  1.434400  0.051769  1.285056  -0.635181  0.000000172  0.000000574
 3.576582  1.201441  10.766960  0.000001033  0.089025725  72.990881  -43.005697  0.700514  1.019313  0.676000  1.206273  0.258044  0.843544  -0.822764  0.000000131  0.000000438
 3.627028  2.009974  17.831629  0.000009374  0.232237167  76.280340  -40.438344  nan  nan  nan  1.441338  0.260179  1.065708  -0.934894  nan  nan
 3.445251  0.243074  21.875956  0.000005158  0.152227011  91.360745  -42.360178  3.679705  9.814867  -1.256000  1.633186  -0.028658  1.206460  -1.100423  0.000000027  0.000000089
 4.808428  0.965670  13.383955  0.000001399  0.304793511  96.514579  -37.310077  nan  nan  nan  1.053630  -0.095079  0.832611  -0.638635  nan  nan
