 # P(ms)  Pdot(1e-20 s/s)  DM(pc cm^-3)  t_scatt(ms)  W50(ms)  GL(deg)  GB(deg)  S1400(mJy)  L1400(mJy kpc^2)  SPIDX  Dist(kpc)  X(kpc)  Y(kpc)  Z(kpc)  sigtoa3(ms)  sigtoa10(ms)
 3.299339  0.704696  49.586575  0.000023693  0.213084562  153.783370  -11.021857  0.309729  0.927847  -1.488000  1.730800  -1.524111  0.750505  -0.330900  0.000000472  0.000001573
 3.061844  0.959062  38.776457  0.000019424  0.273657778  -149.586946  -9.304911  2.113791  2.603829  -1.815000  1.109878  -0.944562  -0.554461  -0.179454  0.000000048  0.000000162
 2.868953  0.344831  11.108159  0.000002580  0.129142130  163.908577  18.642589  nan  nan  nan  0.727167  -0.662018  0.190974  0.232449  nan  nan
 8.853497  0.492111  18.248350  0.000008271  0.117782441  163.962947  20.250930  0.290236  0.433226  -1.687000  1.221747  -1.101618  0.316655  0.422886  0.000000514  0.000001712
 2.885736  1.218928  14.961787  0.000004271  0.133835367  149.729729  29.599370  4.378972  2.025432  -1.600000  0.680100  -0.510721  0.298086  0.335923  0.000000038  0.000000128
 4.638029  0.362843  41.488194  0.000004286  0.352340926  -109.000798  23.053625  0.420269  1.480505  -1.600000  1.876900  -0.562282  -1.632911  0.734980  0.000000448  0.000001493
 5.255749  1.712712  9.022146  0.000003247  0.584054917  160.347167  50.857844  3.423725  2.996572  -1.695000  0.935541  -0.556156  0.198616  0.725589  0.000000073  0.000000243
 16.452930  4.313174  10.257885  0.000001876  0.688136145  -128.328125  51.200620  6.099361  0.199970  -0.948000  0.181068  -0.070361  -0.089003  0.141114  0.000000057  0.000000188
 5.162205  1.855816  6.477743  0.000004607  0.141240978  -108.298416  40.515423  0.300239  0.298089  -2.179000  0.996413  -0.237831  -0.719200  0.647322  0.000000626  0.000002088
 4.201609  0.694290  12.027127  0.000002035  0.481336388  128.288759  37.894675  2.303893  1.006010  -1.600000  0.660800  -0.323112  0.409296  0.405871  0.000000076  0.000000254
 7.987205  2.430442  13.569773  0.000003098  0.207188167  -29.278236  22.562252  1.072319  0.298266  -1.616000  0.527400  0.424818  -0.238185  0.202357  0.000000243  0.000000811
 3.597928  0.949992  52.330369  0.002395082  0.070171634  -15.909571  16.451376  2.397726  9.008832  -0.480000  1.938360  1.787796  -0.509590  0.548947  0.000000041  0.000000138
 3.150808  0.962423  34.491758  0.000023956  0.083979667  -7.364295  20.192096  0.699865  0.296140  -1.600000  0.650491  0.605476  -0.078254  0.224529  0.000000200  0.000000666
 4.621641  1.846361  62.301899  0.009799788  0.314581685  5.669490  21.217620  4.308404  24.801932  -2.231000  2.399300  2.225717  0.220959  0.868334  0.000000063  0.000000212
 4.570137  0.852968  15.917131  0.000010218  0.108536757  28.750552  25.222839  6.891379  9.955418  -1.201000  1.201923  0.953285  0.523002  0.512187  0.000000017  0.000000057
 4.074546  0.893369  3.092382  0.000005121  0.136848807  14.793875  9.179709  5.554773  0.977851  -0.884000  0.419569  0.400465  0.105762  0.066934  0.000000022  0.000000074
 1.645610  1.314135  152.962668  0.003092118  0.098088441  -9.792269  -6.412004  0.900016  10.351613  -1.648000  3.391400  3.321085  -0.573189  -0.378742  0.000000202  0.000000675
 2.719112  0.827393  28.194070  0.000024050  0.047844238  23.108564  0.256501  1.100288  5.000065  -1.600000  2.131742  1.960677  0.836646  0.009543  0.000000081  0.000000269
 2.947108  1.402520  10.391362  0.000005528  0.041037331  -0.269235  -19.595811  1.183149  1.482671  -1.973000  1.119445  1.054597  -0.004956  -0.375442  0.000000043  0.000000145
 7.645873  2.569121  26.460733  0.000014470  0.150668881  30.026543  -9.123073  1.194563  1.596530  -1.461000  1.156069  0.988256  0.571180  -0.183301  0.000000205  0.000000683
 1.557807  10.510026  71.090617  0.000077002  0.036932881  57.508890  -0.289595  13.201041  162.182738  -2.315000  3.505082  1.882797  2.956411  -0.017716  0.000000004  0.000000013
 5.223271  0.482503  22.176742  0.000031247  0.247209216  29.445610  -23.539704  1.599942  10.929851  -1.600000  2.613696  2.086660  1.177962  -1.043869  0.000000069  0.000000228
 16.052424  2.979153  9.001883  0.000004511  0.338607441  47.776712  -42.083624  1.695720  1.105330  -3.324000  0.807363  0.402674  0.443725  -0.541107  0.000000355  0.000001184
 5.192325  1.386818  13.788120  0.000021778  0.344534999  103.395243  -14.004577  1.200249  1.680303  -1.790000  1.183200  -0.265961  1.116799  -0.286334  0.000000349  0.000001163
